Date,Close
1/2/2018 16:00:00,58.79
1/3/2018 16:00:00,58.92
1/4/2018 16:00:00,58.82
1/5/2018 16:00:00,58.99
1/8/2018 16:00:00,58.82
1/9/2018 16:00:00,58.92
1/10/2018 16:00:00,58.83
1/11/2018 16:00:00,58.95
1/12/2018 16:00:00,58.84
1/16/2018 16:00:00,58.44
1/17/2018 16:00:00,58.99
1/18/2018 16:00:00,59.07
1/19/2018 16:00:00,59.31
1/22/2018 16:00:00,59.57
1/23/2018 16:00:00,59.23
1/24/2018 16:00:00,61.72
1/25/2018 16:00:00,63.22
1/26/2018 16:00:00,63.42
1/29/2018 16:00:00,63.31
1/30/2018 16:00:00,62.44
1/31/2018 16:00:00,62.16
2/1/2018 16:00:00,62.18
2/2/2018 16:00:00,61.69
2/5/2018 16:00:00,58.73
2/6/2018 16:00:00,58.86
2/7/2018 16:00:00,58.67
2/8/2018 16:00:00,56.27
2/9/2018 16:00:00,57.17
2/12/2018 16:00:00,57.41
2/13/2018 16:00:00,57.64
2/14/2018 16:00:00,58.28
2/15/2018 16:00:00,59.5
2/16/2018 16:00:00,60.17
2/20/2018 16:00:00,59.12
2/21/2018 16:00:00,58.99
2/22/2018 16:00:00,58.99
2/23/2018 16:00:00,59.71
2/26/2018 16:00:00,60.53
2/27/2018 16:00:00,60.55
2/28/2018 16:00:00,60.33
3/1/2018 16:00:00,58.79
3/2/2018 16:00:00,59.46
3/5/2018 16:00:00,60.37
3/6/2018 16:00:00,60.88
3/7/2018 16:00:00,61.29
3/8/2018 16:00:00,61.87
3/9/2018 16:00:00,63.6
3/12/2018 16:00:00,63.62
3/13/2018 16:00:00,63.2
3/14/2018 16:00:00,62.86
3/15/2018 16:00:00,62.59
3/16/2018 16:00:00,63.18
3/19/2018 16:00:00,62.26
3/20/2018 16:00:00,62.65
3/21/2018 16:00:00,62.42
3/22/2018 16:00:00,60.93
3/23/2018 16:00:00,59.5
3/26/2018 16:00:00,61.07
3/27/2018 16:00:00,60.28
3/28/2018 16:00:00,59.23
3/29/2018 16:00:00,59.92
4/2/2018 16:00:00,58.21
4/3/2018 16:00:00,59
4/4/2018 16:00:00,59.46
4/5/2018 16:00:00,59.86
4/6/2018 16:00:00,57.57
4/9/2018 16:00:00,58.22
4/10/2018 16:00:00,59.14
4/11/2018 16:00:00,58.45
4/12/2018 16:00:00,58.83
4/13/2018 16:00:00,58.49
4/16/2018 16:00:00,59.27
4/17/2018 16:00:00,59.8
4/18/2018 16:00:00,59.52
4/19/2018 16:00:00,59.88
4/20/2018 16:00:00,59.19
4/23/2018 16:00:00,58.84
4/24/2018 16:00:00,58.31
4/25/2018 16:00:00,58.65
4/26/2018 16:00:00,59.5
4/27/2018 16:00:00,59.56
