Date,Close
1/2/2018 16:00:00,153.39
1/3/2018 16:00:00,153.43
1/4/2018 16:00:00,155.18
1/5/2018 16:00:00,156.92
1/8/2018 16:00:00,158.86
1/9/2018 16:00:00,158.36
1/10/2018 16:00:00,158.22
1/11/2018 16:00:00,160.25
1/12/2018 16:00:00,159.56
1/16/2018 16:00:00,159.75
1/17/2018 16:00:00,162.32
1/18/2018 16:00:00,161.2
1/19/2018 16:00:00,163.45
1/22/2018 16:00:00,163.52
1/23/2018 16:00:00,164.02
1/24/2018 16:00:00,162.88
1/25/2018 16:00:00,162.89
1/26/2018 16:00:00,170.09
1/29/2018 16:00:00,176.13
1/30/2018 16:00:00,173.52
1/31/2018 16:00:00,172.66
2/1/2018 16:00:00,172.84
2/2/2018 16:00:00,169.38
2/5/2018 16:00:00,164.01
2/6/2018 16:00:00,164.47
2/7/2018 16:00:00,163.19
2/8/2018 16:00:00,156.25
2/9/2018 16:00:00,157.82
2/12/2018 16:00:00,159.83
2/13/2018 16:00:00,159.72
2/14/2018 16:00:00,163.72
2/15/2018 16:00:00,165.74
2/16/2018 16:00:00,166.48
2/20/2018 16:00:00,172.02
2/21/2018 16:00:00,172.34
2/22/2018 16:00:00,172.75
2/23/2018 16:00:00,176.3
2/26/2018 16:00:00,175.25
2/27/2018 16:00:00,172.69
2/28/2018 16:00:00,169.94
3/1/2018 16:00:00,169.6
3/2/2018 16:00:00,172.22
3/5/2018 16:00:00,173.49
3/6/2018 16:00:00,175.9
3/7/2018 16:00:00,177.85
3/8/2018 16:00:00,177.64
3/9/2018 16:00:00,178.09
3/12/2018 16:00:00,177.14
3/13/2018 16:00:00,176.1
3/14/2018 16:00:00,173.75
3/15/2018 16:00:00,171.3
3/16/2018 16:00:00,170.65
3/19/2018 16:00:00,167.6
3/20/2018 16:00:00,169.96
3/21/2018 16:00:00,170.88
3/22/2018 16:00:00,167.76
3/23/2018 16:00:00,163.1
3/26/2018 16:00:00,169.93
3/27/2018 16:00:00,165.75
3/28/2018 16:00:00,167.51
3/29/2018 16:00:00,169.37
4/2/2018 16:00:00,163.17
4/3/2018 16:00:00,167.26
4/4/2018 16:00:00,167.04
4/5/2018 16:00:00,168.92
4/6/2018 16:00:00,164.23
